,total_acidity,chlorides,pH,sulphates,alcohol,quality
2265,7.41,0.056,3.11,0.48,9.0,0
2266,10.14,0.027,3.08,0.43,10.6,0
2267,7.22,0.045,3.52,0.77,10.4,1
2268,6.8,0.034,3.47,0.4,8.5,1
2269,9.25,0.055,3.07,0.67,9.3,1
2270,7.74,0.051,3.53,0.66,10.5,1
2271,7.21,0.06,3.39,0.46,9.9,1
2272,6.73,0.035,3.4,0.42,10.4,1
2273,6.88,0.053,3.35,0.47,10.1,0
2274,7.74,0.051,3.53,0.66,10.5,1
2275,8.05,0.067,3.04,0.49,9.2,0
2276,7.1899999999999995,0.043,3.17,0.44,9.4,1
2277,7.84,0.033,3.53,0.39,10.6,1
2278,7.1899999999999995,0.043,3.17,0.44,9.4,1
2279,8.02,0.148,3.08,0.56,8.7,0
2280,6.8100000000000005,0.047,3.61,0.54,10.2,1
2281,6.68,0.046,3.61,0.55,10.3,1
2282,7.99,0.049,3.06,0.68,9.5,0
2283,7.99,0.049,3.06,0.68,9.5,0
2284,7.99,0.049,3.06,0.68,9.5,0
2285,7.99,0.049,3.06,0.68,9.5,0
2286,7.25,0.158,3.17,0.49,9.4,0
2287,7.36,0.157,3.17,0.49,9.4,0
2288,7.99,0.049,3.06,0.68,9.5,0
2289,7.98,0.037,3.16,0.58,12.6,1
2290,7.82,0.047,3.52,0.64,10.5,1
2291,9.049999999999999,0.047,3.1,0.56,10.8,1
2292,7.050000000000001,0.054,3.18,0.46,9.9,1
2293,7.98,0.037,3.16,0.58,12.6,1
2294,7.63,0.031,3.38,0.58,12.2,1
2295,8.11,0.041,3.23,0.37,10.0,1
2296,7.49,0.04,3.29,0.57,10.6,1
2297,7.21,0.042,3.24,0.53,9.5,1
2298,6.89,0.027,3.34,0.54,12.8,1
2299,7.63,0.031,3.38,0.58,12.2,1
2300,7.93,0.043,3.34,0.44,12.6,1
2301,7.1,0.058,3.45,0.45,9.4,0
2302,6.4399999999999995,0.055,3.21,0.43,9.0,0
2303,7.5200000000000005,0.051,3.23,0.48,9.1,0
2304,8.12,0.06,3.06,0.4,9.4,1
2305,7.66,0.04,3.33,0.42,12.2,1
2306,6.095,0.049,3.21,0.68,10.0,0
2307,7.56,0.053,2.93,0.44,9.2,0
2308,9.98,0.045,3.11,0.49,9.3,0
2309,8.719999999999999,0.035,3.14,0.5,9.8,1
2310,7.56,0.053,2.93,0.44,9.2,0
2311,7.4799999999999995,0.036,3.34,0.41,12.0,1
2312,9.98,0.045,3.11,0.49,9.3,0
2313,7.42,0.029,3.33,0.63,12.6,1
2314,7.5200000000000005,0.032,3.31,0.38,12.2,1
2315,8.500000000000002,0.061,3.4,0.58,11.0,1
2316,7.91,0.038,3.25,0.39,12.0,1
2317,8.36,0.045,3.16,0.44,8.8,0
2318,8.35,0.046,3.17,0.46,8.9,0
2319,7.32,0.035,3.59,0.48,12.7,1
2320,8.5,0.037,3.1,0.67,11.8,1
2321,5.045,0.053,3.79,0.55,10.2,0
2322,6.55,0.036,3.24,0.61,9.9,1
2323,8.14,0.041,3.35,0.66,11.1,1
2324,7.41,0.045,3.22,0.48,9.4,0
2325,7.52,0.049,3.13,0.36,9.7,1
2326,7.8,0.038,3.11,0.29,9.7,0
2327,7.52,0.049,3.13,0.36,9.7,1
2328,7.8,0.038,3.11,0.29,9.7,0
2329,8.299999999999999,0.054,3.19,0.53,9.8,0
2330,8.17,0.05,3.25,0.59,9.3,1
2331,8.12,0.032,2.95,0.42,10.5,0
2332,7.0200000000000005,0.049,3.47,0.59,9.3,1
2333,7.45,0.024,3.45,0.6,12.6,1
2334,8.08,0.058,3.44,0.43,8.9,0
2335,8.91,0.048,3.18,0.51,10.3,0
2336,7.279999999999999,0.041,3.29,0.67,10.6,0
2337,7.13,0.067,3.15,0.57,9.0,0
2338,7.84,0.051,3.48,0.62,9.7,0
2339,7.49,0.041,3.22,0.55,9.5,1
2340,8.28,0.06,3.49,0.59,10.3,1
2341,7.84,0.051,3.48,0.62,9.7,0
2342,8.37,0.034,3.21,0.59,12.3,1
2343,7.140000000000001,0.032,3.4,0.52,10.5,0
2344,7.49,0.041,3.22,0.55,9.5,1
2345,8.6,0.043,3.11,0.49,10.0,1
2346,8.610000000000001,0.039,3.08,0.44,8.8,0
2347,8.02,0.031,3.0,0.54,10.9,1
2348,8.870000000000001,0.029,2.95,0.77,12.2,1
2349,8.760000000000002,0.168,3.06,0.62,9.5,0
2350,8.430000000000001,0.048,3.47,0.59,10.0,0
2351,8.49,0.04,3.11,0.57,9.6,1
2352,6.54,0.06,3.13,0.46,8.7,1
2353,7.4399999999999995,0.044,3.39,0.48,10.7,1
2354,6.99,0.046,3.43,0.48,11.1,1
2355,8.41,0.024,3.25,0.45,12.5,1
2356,7.76,0.051,3.3,0.5,10.4,1
2357,9.48,0.028,3.2,0.37,11.5,0
2358,7.99,0.04,3.05,0.66,9.4,0
2359,6.765000000000001,0.157,3.03,0.36,9.3,0
2360,8.69,0.05,3.17,0.49,10.1,1
2361,8.91,0.05,3.28,0.58,9.7,0
2362,6.97,0.035,3.49,0.5,10.5,1
2363,7.2,0.053,3.42,0.42,9.7,0
2364,7.16,0.06,3.59,0.51,9.2,0
2365,8.27,0.092,3.19,0.44,9.8,0
2366,8.17,0.05,3.12,0.52,9.0,0
2367,7.8,0.05,3.15,0.49,9.1,1
2368,8.040000000000001,0.037,3.25,0.37,10.4,1
2369,6.55,0.03,3.68,0.46,10.7,1
2370,6.64,0.039,3.59,0.49,10.5,1
2371,7.380000000000001,0.099,3.21,0.43,9.2,0
2372,6.51,0.036,3.28,0.4,11.5,0
2373,8.45,0.034,3.05,0.54,10.4,0
2374,7.7,0.039,3.3,0.41,12.0,1
2375,7.61,0.036,3.38,0.43,12.2,1
2376,7.7,0.039,3.3,0.41,12.0,1
2377,7.51,0.05,3.29,0.46,9.8,1
2378,10.190000000000001,0.063,3.1,0.51,9.3,0
2379,6.86,0.084,3.49,0.63,9.6,0
2380,6.86,0.085,3.49,0.64,9.5,0
2381,7.65,0.042,3.5,0.59,10.2,1
2382,7.330000000000001,0.029,3.24,0.46,10.4,1
2383,7.25,0.025,3.28,0.53,11.0,1
2384,7.330000000000001,0.029,3.24,0.46,10.4,1
2385,8.48,0.042,3.05,0.41,8.7,0
2386,7.49,0.053,3.29,0.54,9.9,0
2387,7.5,0.053,3.29,0.54,9.9,0
2388,8.16,0.041,3.06,0.45,11.3,0
2389,7.52,0.042,3.38,0.51,12.0,1
2390,7.54,0.042,3.43,0.5,10.7,1
2391,7.03,0.043,3.13,0.7,10.1,1
2392,6.91,0.091,3.25,0.49,9.6,1
2393,6.91,0.093,3.25,0.49,9.6,1
2394,7.545,0.056,3.29,0.49,8.7,0
2395,7.56,0.059,3.54,0.59,10.3,0
2396,8.950000000000001,0.047,2.98,0.66,9.1,0
2397,6.960000000000001,0.037,3.17,0.41,11.8,1
2398,8.75,0.024,3.15,0.49,11.9,1
2399,6.5,0.046,3.66,0.57,10.3,1
2400,9.809999999999999,0.047,3.09,0.66,10.0,0
2401,9.85,0.044,3.1,0.53,10.2,0
2402,8.54,0.038,3.12,0.56,10.0,1
2403,9.49,0.034,2.96,0.98,12.7,1
2404,10.420000000000002,0.046,3.04,0.67,9.6,0
2405,7.01,0.044,3.16,0.49,9.5,0
2406,8.6,0.033,3.17,0.52,12.7,1
2407,8.18,0.036,3.34,0.54,11.0,1
2408,8.305,0.044,3.1,0.5,9.1,0
2409,7.59,0.034,3.35,0.64,10.2,0
2410,7.42,0.047,3.38,0.58,10.1,1
2411,8.52,0.045,3.05,0.5,9.2,1
2412,6.85,0.08,3.47,0.66,9.4,0
2413,7.59,0.034,3.35,0.64,10.2,0
2414,6.76,0.095,3.53,0.71,9.2,0
2415,8.74,0.05,2.98,0.5,10.0,0
2416,7.42,0.047,3.38,0.58,10.1,1
2417,8.205,0.044,3.15,0.46,9.0,0
2418,6.87,0.032,3.16,0.42,9.5,0
2419,6.87,0.07,3.39,0.53,9.1,0
2420,8.82,0.031,3.05,0.46,13.3,1
2421,7.489999999999999,0.045,3.26,0.55,9.5,0
2422,6.82,0.096,3.56,0.72,9.2,0
2423,7.73,0.036,3.36,0.68,10.1,1
2424,6.82,0.096,3.56,0.72,9.2,0
2425,7.73,0.036,3.36,0.68,10.1,1
2426,7.779999999999999,0.04,3.27,0.48,11.2,1
2427,8.719999999999999,0.04,3.14,0.55,9.8,1
2428,7.779999999999999,0.04,3.27,0.48,11.2,1
2429,8.719999999999999,0.04,3.14,0.55,9.8,1
2430,6.8500000000000005,0.042,3.22,0.46,9.4,0
2431,6.7299999999999995,0.045,3.23,0.42,9.0,0
2432,6.84,0.044,3.21,0.47,9.4,0
2433,7.95,0.054,3.11,0.5,8.9,1
2434,8.85,0.045,3.02,0.56,9.1,1
2435,7.1,0.034,3.17,0.5,9.8,0
2436,7.61,0.056,3.17,0.43,9.4,0
2437,8.54,0.05,3.13,0.5,10.0,1
2438,7.61,0.056,3.17,0.43,9.4,0
2439,7.94,0.042,3.48,0.75,9.9,1
2440,7.52,0.147,3.14,0.47,10.0,0
2441,7.680000000000001,0.028,3.17,1.06,11.5,1
2442,8.205,0.063,3.0,0.45,9.2,0
2443,7.25,0.052,3.15,0.6,10.0,0
2444,8.205,0.063,3.0,0.45,9.2,0
2445,7.279999999999999,0.051,3.15,0.61,10.0,0
2446,7.25,0.052,3.15,0.6,10.0,0
2447,7.029999999999999,0.042,3.43,0.64,9.8,1
2448,7.129999999999999,0.04,3.36,0.62,10.5,1
2449,7.23,0.043,3.45,0.63,10.6,1
2450,7.3100000000000005,0.037,3.28,0.52,9.4,0
2451,7.3100000000000005,0.037,3.28,0.52,9.4,0
2452,7.76,0.027,3.38,0.54,11.0,1
2453,6.76,0.027,3.53,0.56,10.8,1
2454,7.6899999999999995,0.036,3.3,0.67,9.0,0
2455,8.45,0.031,3.07,0.58,9.6,1
2456,8.79,0.037,3.19,0.54,10.6,1
2457,8.79,0.037,3.19,0.54,10.6,1
2458,8.45,0.031,3.07,0.58,9.6,1
2459,7.17,0.045,3.08,0.52,9.2,0
2460,7.17,0.045,3.08,0.52,9.2,0
2461,8.79,0.053,2.89,0.49,9.5,0
2462,8.88,0.053,2.89,0.48,9.5,0
2463,7.52,0.039,3.47,0.58,10.3,1
2464,6.41,0.053,3.08,0.46,8.8,0
2465,8.56,0.041,2.98,0.44,8.7,0
2466,8.559999999999999,0.04,2.98,0.44,8.7,0
2467,7.6000000000000005,0.038,3.2,0.62,10.2,1
2468,5.7,0.029,3.25,0.51,10.1,1
2469,7.239999999999999,0.049,3.21,0.41,9.5,0
2470,8.19,0.056,3.1,0.51,9.5,0
2471,6.35,0.022,3.54,0.5,11.6,1
2472,9.270000000000001,0.032,3.13,0.4,10.7,1
2473,6.5,0.043,3.11,0.54,10.1,1
2474,6.679999999999999,0.035,3.32,0.44,11.1,1
2475,8.05,0.071,3.22,0.53,9.8,0
2476,7.58,0.142,3.08,0.49,9.0,1
2477,6.679999999999999,0.035,3.32,0.44,11.1,1
2478,6.94,0.047,3.19,0.48,9.5,1
2479,7.14,0.052,3.37,0.49,9.4,1
2480,7.42,0.049,3.24,0.61,10.2,0
2481,7.140000000000001,0.041,3.1,0.5,9.8,1
2482,6.83,0.047,3.19,0.48,9.5,1
2483,6.94,0.047,3.19,0.48,9.5,1
2484,6.86,0.05,3.17,0.49,9.0,0
2485,8.6,0.045,3.1,0.55,10.1,1
2486,7.260000000000001,0.079,3.02,0.45,8.8,0
2487,8.44,0.034,2.97,0.51,11.9,1
2488,8.44,0.034,2.97,0.51,11.9,1
2489,6.62,0.074,3.19,0.44,9.3,1
2490,8.58,0.036,3.33,0.76,10.0,1
2491,6.44,0.075,3.21,0.43,9.5,0
2492,6.62,0.074,3.19,0.44,9.3,1
2493,8.139999999999999,0.054,3.16,0.5,9.7,0
2494,8.139999999999999,0.054,3.16,0.5,9.7,0
2495,6.699999999999999,0.043,3.19,0.48,10.2,0
2496,9.08,0.031,3.11,0.4,10.8,0
2497,7.37,0.046,3.27,0.48,8.8,0
2498,7.37,0.046,3.27,0.48,8.8,0
2499,7.47,0.039,3.32,0.49,11.4,1
2500,7.37,0.046,3.27,0.48,8.8,0
2501,7.11,0.039,3.14,0.52,9.8,0
2502,9.299999999999999,0.045,3.17,0.47,9.4,0
2503,9.299999999999999,0.045,3.17,0.47,9.4,0
2504,9.08,0.054,3.21,0.43,9.4,1
2505,8.21,0.053,3.2,0.63,9.4,1
2506,7.26,0.044,3.22,0.48,9.7,1
2507,7.749999999999999,0.032,3.35,0.47,12.3,1
2508,7.109999999999999,0.045,3.33,0.43,9.8,1
2509,8.84,0.053,3.12,0.68,9.0,0
2510,6.930000000000001,0.045,3.26,0.46,9.2,1
2511,6.99,0.058,3.19,0.6,9.4,1
2512,6.0649999999999995,0.043,3.28,0.48,9.9,1
2513,7.6000000000000005,0.032,3.07,0.52,9.8,0
2514,7.54,0.029,3.36,0.49,12.3,1
2515,7.52,0.018,3.02,0.52,11.9,1
2516,7.71,0.038,3.27,0.64,10.2,1
2517,8.1,0.034,3.14,0.56,9.5,1
2518,7.52,0.018,3.02,0.52,11.9,1
2519,7.09,0.04,3.24,0.5,9.2,0
2520,8.14,0.054,3.18,0.49,9.7,0
2521,7.01,0.029,3.36,0.6,11.5,1
2522,7.71,0.121,3.17,0.38,10.4,1
2523,8.78,0.053,3.22,0.41,11.6,0
2524,8.14,0.054,3.18,0.49,9.7,0
2525,7.71,0.121,3.17,0.38,10.4,1
2526,7.01,0.029,3.36,0.6,11.5,1
2527,7.81,0.036,3.27,0.51,10.2,1
2528,6.930000000000001,0.037,3.38,0.5,9.8,1
2529,7.1499999999999995,0.044,3.24,0.47,9.0,0
2530,6.22,0.036,3.38,0.59,10.5,1
2531,7.51,0.049,3.16,0.38,9.4,0
2532,7.51,0.049,3.16,0.38,9.4,0
2533,6.92,0.046,3.21,0.34,10.8,0
2534,7.33,0.043,3.17,0.46,10.7,1
2535,9.6,0.029,3.08,0.5,10.6,1
2536,6.98,0.046,3.15,0.42,9.2,1
2537,6.32,0.032,3.28,0.44,9.5,1
2538,6.32,0.032,3.28,0.44,9.5,1
2539,6.65,0.028,3.41,0.5,10.0,0
2540,9.629999999999999,0.03,3.13,0.47,10.6,0
2541,9.6,0.029,3.08,0.5,10.6,1
2542,9.51,0.029,3.13,0.48,10.6,0
2543,6.98,0.046,3.15,0.42,9.2,1
2544,7.5200000000000005,0.036,3.24,0.48,11.0,1
2545,7.66,0.041,3.25,0.53,11.2,1
2546,7.58,0.046,3.32,0.54,9.6,0
2547,6.67,0.052,3.21,0.48,9.4,0
2548,6.9799999999999995,0.045,3.2,0.53,9.5,1
2549,8.17,0.052,3.09,0.62,9.3,0
2550,6.67,0.052,3.21,0.48,9.4,0
2551,6.9799999999999995,0.045,3.2,0.53,9.5,1
2552,7.48,0.046,3.07,0.46,9.4,0
2553,6.85,0.043,3.13,0.72,11.2,1
2554,6.990000000000001,0.043,3.14,0.73,11.2,1
2555,6.85,0.043,3.13,0.72,11.2,1
2556,8.47,0.033,3.0,0.53,8.8,0
2557,6.990000000000001,0.043,3.14,0.73,11.2,1
2558,6.85,0.043,3.13,0.72,11.2,1
2559,6.605,0.079,3.2,0.42,9.4,0
2560,7.48,0.03,3.06,0.42,11.1,1
2561,7.4,0.052,3.08,0.46,9.6,0
2562,7.48,0.03,3.06,0.42,11.1,1
2563,6.605,0.079,3.2,0.42,9.4,0
2564,7.17,0.037,2.95,0.45,10.6,1
2565,7.83,0.048,3.13,0.45,8.9,0
2566,7.3500000000000005,0.021,3.15,0.46,12.3,1
2567,7.12,0.028,3.34,0.46,11.4,0
2568,7.44,0.043,3.16,0.49,9.6,1
2569,7.08,0.034,3.33,0.59,10.3,1
2570,7.12,0.028,3.34,0.46,11.4,0
2571,7.48,0.032,3.23,0.36,12.1,1
2572,7.42,0.026,3.46,0.45,9.9,0
2573,7.0,0.035,3.15,0.49,9.7,0
2574,7.3,0.043,3.18,0.52,10.5,0
2575,7.29,0.038,3.04,0.44,8.9,1
2576,7.17,0.039,3.18,0.5,9.4,0
2577,7.3100000000000005,0.037,3.18,0.5,9.6,0
2578,6.369999999999999,0.014,3.4,0.56,12.6,1
2579,7.24,0.156,3.1,0.37,9.2,1
2580,8.26,0.053,3.2,0.5,10.4,0
2581,7.279999999999999,0.062,3.0,0.52,9.0,1
2582,7.279999999999999,0.062,3.0,0.52,9.0,1
2583,7.279999999999999,0.062,3.0,0.52,9.0,1
2584,7.279999999999999,0.062,3.0,0.52,9.0,1
2585,7.279999999999999,0.062,3.0,0.52,9.0,1
2586,7.279999999999999,0.062,3.0,0.52,9.0,1
2587,5.489999999999999,0.039,3.22,0.43,9.2,1
2588,7.279999999999999,0.062,3.0,0.52,9.0,1
2589,7.915,0.068,3.2,0.48,9.7,0
2590,7.3100000000000005,0.05,3.34,0.42,10.1,1
2591,7.34,0.059,3.46,0.64,11.0,1
2592,7.91,0.038,3.2,0.55,10.8,0
2593,6.8,0.048,3.22,0.38,10.8,0
2594,6.03,0.028,3.48,0.88,13.5,1
2595,9.059999999999999,0.042,3.24,0.39,10.6,0
2596,8.39,0.046,3.23,0.64,9.8,0
2597,6.96,0.023,3.18,0.7,11.7,1
2598,8.39,0.046,3.23,0.64,9.8,0
2599,7.49,0.034,3.34,0.6,9.0,1
2600,7.33,0.042,3.18,0.74,11.3,1
2601,6.78,0.031,3.31,0.61,9.4,0
2602,6.96,0.023,3.18,0.7,11.7,1
2603,7.29,0.025,3.31,0.63,11.3,1
2604,7.29,0.025,3.31,0.63,11.3,1
2605,7.6,0.019,3.2,0.36,12.0,1
2606,7.760000000000001,0.028,3.48,0.49,10.6,1
2607,9.49,0.024,3.13,0.46,10.8,1
2608,8.07,0.024,3.12,0.46,10.8,1
2609,7.6,0.019,3.2,0.36,12.0,1
2610,7.03,0.053,3.18,0.67,9.4,0
2611,7.1899999999999995,0.038,3.19,0.5,9.4,0
2612,7.29,0.025,3.31,0.63,11.3,1
2613,7.48,0.05,3.07,0.4,9.4,0
2614,6.73,0.021,3.39,0.47,12.0,0
2615,7.09,0.039,3.28,0.72,10.3,1
2616,7.09,0.039,3.28,0.72,10.3,1
2617,7.09,0.039,3.28,0.72,10.3,1
2618,7.069999999999999,0.026,3.22,0.38,11.3,1
2619,7.299999999999999,0.063,3.1,0.47,9.4,1
2620,7.0600000000000005,0.041,3.14,0.38,8.7,0
2621,7.48,0.05,3.07,0.4,9.4,0
2622,7.069999999999999,0.026,3.22,0.38,11.3,1
2623,7.09,0.039,3.28,0.72,10.3,1
2624,6.73,0.021,3.39,0.47,12.0,0
2625,4.9,0.033,3.34,0.42,8.0,0
2626,8.5,0.033,3.44,0.51,10.4,1
2627,8.2,0.029,3.37,0.41,10.7,1
2628,7.48,0.03,3.47,0.46,10.2,1
2629,6.3999999999999995,0.044,3.56,0.43,10.9,0
2630,6.605,0.027,3.3,0.36,10.5,1
2631,7.260000000000001,0.012,3.26,0.39,11.7,1
2632,7.44,0.065,3.13,0.45,8.6,0
2633,7.710000000000001,0.034,3.2,0.44,9.0,0
2634,9.74,0.044,2.96,0.88,8.7,0
2635,8.78,0.062,3.1,0.47,12.8,1
2636,7.710000000000001,0.034,3.2,0.44,9.0,0
2637,9.74,0.044,2.96,0.88,8.7,0
2638,8.01,0.023,3.28,0.53,11.8,1
2639,9.709999999999999,0.034,3.05,0.55,11.6,1
2640,7.970000000000001,0.028,3.14,0.61,11.8,1
2641,6.6,0.042,3.24,0.37,10.6,0
2642,8.23,0.066,3.17,0.8,9.7,0
2643,8.65,0.047,3.22,0.47,10.3,0
2644,7.5600000000000005,0.119,3.15,0.44,10.2,1
2645,7.12,0.048,3.33,0.44,10.1,1
2646,6.24,0.046,3.7,0.68,10.9,1
2647,6.23,0.037,3.24,0.51,9.3,0
2648,7.12,0.057,3.33,0.54,10.2,1
2649,7.5600000000000005,0.119,3.15,0.44,10.2,1
2650,7.7299999999999995,0.066,3.11,0.53,9.5,0
2651,7.34,0.069,3.18,0.4,9.3,0
2652,7.829999999999999,0.018,3.06,0.34,12.9,1
2653,6.950000000000001,0.042,3.14,0.46,8.7,0
2654,7.5200000000000005,0.081,3.4,0.57,9.4,0
2655,7.220000000000001,0.034,3.23,0.69,10.1,0
2656,7.57,0.039,3.19,0.78,10.0,0
2657,7.01,0.05,3.27,0.69,11.1,1
2658,7.090000000000001,0.052,3.26,0.7,10.3,1
2659,7.59,0.033,3.24,0.41,12.2,1
2660,7.37,0.067,3.11,0.48,9.3,1
2661,7.76,0.041,3.19,0.56,11.3,1
2662,7.5600000000000005,0.043,3.04,0.65,10.8,1
2663,8.38,0.033,2.98,0.39,11.2,1
2664,6.75,0.03,3.32,0.45,12.5,1
2665,9.110000000000001,0.05,3.39,0.49,9.3,0
2666,6.55,0.03,3.4,0.41,12.9,1
2667,6.97,0.039,3.2,0.45,11.2,1
2668,10.465,0.039,3.0,1.0,12.6,1
2669,7.46,0.046,3.2,0.49,9.3,0
2670,6.55,0.03,3.4,0.41,12.9,1
2671,6.5,0.03,3.41,0.41,12.9,1
2672,7.45,0.049,3.2,0.36,9.5,1
2673,8.58,0.037,3.19,0.36,11.9,1
2674,7.8,0.032,2.93,0.66,10.3,1
2675,7.760000000000001,0.033,2.92,0.66,10.3,1
2676,8.03,0.031,3.06,0.68,11.2,1
2677,6.76,0.03,3.18,0.31,12.0,1
2678,7.579999999999999,0.042,3.13,0.4,9.6,0
2679,8.059999999999999,0.041,3.2,0.42,9.2,1
2680,8.459999999999999,0.029,3.03,0.33,12.9,1
2681,7.66,0.061,2.99,0.59,9.3,1
2682,8.17,0.03,3.1,0.44,12.1,1
2683,7.579999999999999,0.042,3.13,0.4,9.6,0
2684,7.1,0.026,3.37,0.48,11.2,1
2685,7.5200000000000005,0.029,3.11,0.37,11.2,1
2686,8.459999999999999,0.029,3.03,0.33,12.9,1
2687,7.22,0.042,3.21,0.46,9.2,0
2688,7.66,0.061,2.99,0.59,9.3,1
2689,8.059999999999999,0.041,3.2,0.42,9.2,1
2690,7.45,0.041,3.18,0.5,9.3,1
2691,6.75,0.03,3.2,0.36,10.7,1
2692,7.53,0.024,3.05,0.54,9.8,1
2693,7.180000000000001,0.036,3.3,0.54,10.3,1
2694,6.75,0.03,3.2,0.36,10.7,1
2695,6.210000000000001,0.025,3.28,0.38,11.3,1
2696,7.22,0.048,3.02,0.49,8.8,1
2697,7.55,0.043,3.18,0.5,10.8,0
2698,7.53,0.024,3.05,0.54,9.8,1
2699,7.45,0.041,3.18,0.5,9.3,1
2700,7.27,0.027,3.26,0.6,11.5,1
2701,7.090000000000001,0.038,3.26,0.41,8.8,0
2702,7.090000000000001,0.038,3.26,0.41,8.8,0
2703,7.090000000000001,0.038,3.26,0.41,8.8,0
2704,7.239999999999999,0.17,3.19,0.38,9.4,1
2705,7.35,0.171,3.19,0.38,9.4,1
2706,8.17,0.045,3.16,0.63,9.6,1
2707,7.090000000000001,0.038,3.26,0.41,8.8,0
2708,7.45,0.044,3.22,0.48,9.3,1
2709,8.39,0.044,3.22,0.75,8.9,0
2710,8.39,0.044,3.22,0.75,8.9,0
2711,6.02,0.049,3.74,0.43,10.0,0
2712,7.050000000000001,0.045,3.24,0.46,9.1,0
2713,7.45,0.044,3.22,0.48,9.3,1
2714,7.41,0.043,3.2,0.5,9.4,1
2715,8.33,0.04,3.14,0.6,10.1,1
2716,8.39,0.044,3.22,0.75,8.9,0
2717,7.25,0.046,3.2,0.4,10.8,1
2718,5.7700000000000005,0.028,3.24,0.54,10.0,1
2719,7.989999999999999,0.029,3.03,0.38,10.9,1
2720,8.06,0.027,3.15,0.38,12.0,1
2721,9.209999999999999,0.043,2.99,0.8,9.3,0
2722,8.27,0.03,3.22,0.62,12.3,1
2723,8.01,0.038,3.45,0.56,10.4,1
2724,7.989999999999999,0.029,3.03,0.38,10.9,1
2725,7.450000000000001,0.045,3.22,0.42,10.5,0
2726,5.81,0.036,3.41,0.5,9.8,1
2727,6.9799999999999995,0.041,3.06,0.46,10.5,1
2728,7.13,0.051,3.16,0.51,9.9,1
2729,7.1,0.035,3.27,0.69,11.4,1
2730,7.319999999999999,0.06,3.18,0.51,9.2,0
2731,8.77,0.051,3.09,0.53,9.7,0
2732,8.75,0.049,3.09,0.51,10.0,0
2733,7.1,0.035,3.27,0.69,11.4,1
2734,7.67,0.048,3.13,0.49,10.3,1
2735,7.13,0.051,3.16,0.51,9.9,1
2736,6.9799999999999995,0.041,3.06,0.46,10.5,1
2737,7.880000000000001,0.047,3.16,0.47,9.8,1
2738,7.9350000000000005,0.067,3.19,0.34,9.3,0
2739,7.4,0.034,3.08,0.47,12.4,1
2740,6.69,0.048,3.16,0.42,9.3,1
2741,7.9350000000000005,0.067,3.19,0.34,9.3,0
2742,8.51,0.048,3.26,0.72,9.5,1
2743,7.300000000000001,0.034,3.08,0.4,10.5,1
2744,7.300000000000001,0.034,3.08,0.4,10.5,1
2745,7.36,0.032,3.26,0.53,12.8,1
2746,7.64,0.045,2.99,0.45,10.8,1
2747,7.89,0.057,3.1,0.55,10.0,1
2748,6.31,0.045,3.38,0.9,11.8,1
2749,7.89,0.057,3.1,0.55,10.0,1
2750,6.31,0.045,3.38,0.9,11.8,1
2751,7.33,0.036,3.19,0.66,12.0,1
2752,7.829999999999999,0.025,3.18,0.46,12.6,1
2753,6.385,0.026,3.37,0.4,11.9,1
2754,6.3500000000000005,0.027,3.13,0.32,10.6,0
2755,7.119999999999999,0.082,3.42,0.48,9.2,0
2756,9.27,0.059,3.17,0.52,10.0,1
2757,5.9799999999999995,0.038,3.36,0.46,9.2,0
2758,6.1899999999999995,0.039,3.36,0.47,9.3,1
2759,8.23,0.055,3.24,0.54,10.2,1
2760,8.22,0.054,3.25,0.54,10.2,1
2761,6.41,0.06,3.14,0.51,8.7,0
2762,7.97,0.05,3.24,0.42,10.7,0
2763,8.34,0.048,3.18,0.34,12.1,1
2764,8.360000000000001,0.05,3.12,0.37,9.5,1
2765,6.96,0.028,3.18,0.37,11.2,1
2766,7.430000000000001,0.034,2.93,0.59,12.0,1
2767,8.360000000000001,0.05,3.12,0.37,9.5,1
2768,8.34,0.048,3.18,0.34,12.1,1
2769,7.97,0.05,3.24,0.42,10.7,0
2770,7.280000000000001,0.048,3.26,0.54,8.8,1
2771,6.74,0.052,3.8,0.66,10.8,1
2772,6.8100000000000005,0.026,3.31,0.37,13.1,1
2773,8.309999999999999,0.035,3.08,0.6,12.5,1
2774,7.680000000000001,0.045,3.09,0.33,11.7,1
2775,7.680000000000001,0.045,3.09,0.33,11.7,1
2776,7.680000000000001,0.045,3.09,0.33,11.6,1
2777,8.16,0.043,3.29,0.54,11.3,1
2778,8.309999999999999,0.035,3.08,0.6,12.5,1
2779,7.2700000000000005,0.025,3.11,0.45,11.4,0
2780,6.775,0.036,3.4,0.44,12.2,0
2781,9.365,0.074,3.39,0.69,11.7,1
2782,7.609999999999999,0.053,3.31,0.59,10.4,1
2783,7.609999999999999,0.053,3.31,0.59,10.4,1
2784,7.609999999999999,0.053,3.31,0.59,10.4,1
2785,6.890000000000001,0.083,3.17,0.5,9.1,0
2786,8.66,0.034,3.05,0.41,12.2,1
2787,6.890000000000001,0.083,3.17,0.5,9.1,0
2788,7.720000000000001,0.066,3.12,0.54,9.4,0
2789,7.73,0.065,3.11,0.53,9.4,0
2790,7.609999999999999,0.053,3.31,0.59,10.4,1
2791,7.359999999999999,0.047,3.22,0.49,9.2,0
2792,7.5,0.046,3.2,0.51,9.4,0
2793,7.17,0.033,3.22,0.53,13.5,1
2794,7.68,0.053,3.07,0.4,9.4,0
2795,6.94,0.028,3.13,0.55,10.9,1
